OrderID;Date-time;Time;Customer Name;Pizza Type;Pizza Name;Pizza Size;Unit Price;Quantity;Total Price;Payment Method
1060;03-04-2024;22:01:11;Michael Brown;Non-Veg;Pepperoni Pizza;Medium;12.14;1;12.14;Online Payment
1071;02-05-2024;19:03:01;Emily Davis;Veg;Pepperoni Pizza;Medium;10.41;2;20.82;Debit Card
1020;02-05-2024;11:50:18;Chris Lee;Veg;Pepperoni Pizza;Medium;10.41;4;41.64;Debit Card
1033;02-05-2024;22:01:11;Emily Davis;Veg;Hawaiian Pizza;Medium;13.24;1;13.24;Cash
1071;03-05-2024;16:38:46;John Doe;Non-Veg;BBQ Chicken Pizza;Medium;15.31;3;45.93;Cash
1047;02-06-2024;11:50:18;Jane Smith;Veg;Hawaiian Pizza;Small;8.48;4;33.92;Credit Card
NA;02-06-2024;19:28:28;John Doe;Veg;Pepperoni Pizza;Large;15;2;30;Credit Card
1043;03-06-2024;16:38:46;Michael Brown;Non-Veg;Pepperoni Pizza;Small;8.1;3;24.3;Cash
1006;03-06-2024;19:03:01;Jane Smith;Veg;Veggie Supreme Pizza;Large;18.36;1;18.36;Online Payment
1054;03-06-2024;13:15:08;Alice Johnson;Veg;Hawaiian Pizza;Large;18.35;4;73.4;Credit Card
1051;01-07-2024;21:10:17;Jane Smith;Veg;Pepperoni Pizza;Small;6.1;1;6.1;Credit Card
1047;01-07-2024;17:39:59;Robert Moore;Non-Veg;Pepperoni Pizza;Medium;12.14;4;48.56;Online Payment
1047;01-07-2024;21:10:17;Robert Moore;Non-Veg;Pepperoni Pizza;Medium;12.14;4;48.56;Online Payment
1091;01-08-2024;16:47:15;Emily Davis;Veg;Veggie Supreme Pizza;Large;18.36;5;91.8;Credit Card
1023;02-08-2024;16:47:15;Jane Smith;Non-Veg;Pepperoni Pizza;Large;18.48;5;92.4;Credit Card
1074;01-09-2024;22:01:11;Robert Moore;Non-Veg;BBQ Chicken Pizza;Large;20.58;2;41.16;Cash
1014;01-10-2024;11:50:18;Alice Johnson;Veg;Veggie Supreme Pizza;Large;18.36;3;55.08;Online Payment
1053;02-10-2024;16:38:46;Laura Jackson;Veg;Hawaiian Pizza;Medium;13.24;2;26.48;Debit Card
1081;01-11-2024;16:47:15;Robert Moore;Veg;Veggie Supreme Pizza;Small;9.19;2;18.38;Debit Card
1041;02-11-2024;11:50:18;Sarah Taylor;Veg;Veggie Supreme Pizza;Large;18.36;5;91.8;Online Payment
1001;02-11-2024;21:10:17;Alice Johnson;Veg;Hawaiian Pizza;Large;18.35;1;18.35;Cash
1052;03-11-2024;13:15:08;Michael Brown;Non-Veg;BBQ Chicken Pizza;Small;9.85;3;29.55;Credit Card
1061;03-11-2024;21:10:17;David Wilson;Non-Veg;BBQ Chicken Pizza;Small;9.85;2;19.7;Cash
1007;03-11-2024;19:03:01;Alice Johnson;Veg;Veggie Supreme Pizza;Medium;14.21;1;14.21;Cash
1074;01-12-2024;21:10:17;Laura Jackson;Non-Veg;Margherita Pizza;Small;8.71;2;17.42;Credit Card
1081;02-01-2025;13:15:08;Jane Smith;Veg;Margherita Pizza;Large;15.64;NA;NA;Online Payment
1079;03-01-2025;11:50:18;Chris Lee;Veg;Pepperoni Pizza;Small;6.1;1;6.1;Online Payment
1077;03-01-2025;22:01:11;Sarah Taylor;Veg;Veggie Supreme Pizza;Small;9.19;2;18.38;Cash
1092;02-02-2025;19:03:01;Robert Moore;Veg;Veggie Supreme Pizza;Large;18.36;1;18.36;Debit Card
1059;02-02-2025;16:47:15;Chris Lee;Non-Veg;BBQ Chicken Pizza;Small;9.85;1;9.85;Debit Card
1092;01-03-2025;19:03:01;John Doe;Non-Veg;BBQ Chicken Pizza;Small;9.85;2;19.7;Cash
1059;02-03-2025;11:50:18;Robert Moore;Veg;Pepperoni Pizza;Small;6.1;3;18.3;Cash
1039;03-03-2025;13:15:08;Michael Brown;Non-Veg;Hawaiian Pizza;Medium;15.32;2;30.64;Online Payment
1083;03-03-2025;21:10:17;Emily Davis;Non-Veg;Margherita Pizza;Medium;12.4;1;12.4;Online Payment
1005;01-04-2025;19:03:01;Michael Brown;Non-Veg;BBQ Chicken Pizza;Small;9.85;3;29.55;Credit Card
1059;03-05-2025;19:28:28;Robert Moore;Veg;Pepperoni Pizza;Small;6.1;3;18.3;Credit Card
1046;03-05-2025;21:10:17;Emily Davis;Non-Veg;Pepperoni Pizza;Small;8.1;5;40.5;Credit Card
1079;01-06-2025;17:39:59;Alice Johnson;Veg;Margherita Pizza;Medium;9.99;5;49.95;NA
1035;03-06-2025;16:47:15;Robert Moore;Veg;Veggie Supreme Pizza;Small;9.19;2;18.38;Credit Card
1037;NA;NA;Robert Moore;Veg;Margherita Pizza;Small;6.56;3;19.68;Debit Card
